a-fortiori aforsïori
grenade gr^nad
grenadier gr^nadïé
grenadine gr^nadin
grenaille gr^naï
grenat gr^na
grenier gr^nïé
grenouillage gr^nuïaj
grenouille gr^nuï
grenu gr^ny
grenue gr^ny
grené gr^né
grenée gr^né
gressin grésê
grever gr^vé
gri-gri grigri
gribouillage gribuïaj
gribouille gribuï
gribouiller gribuïé
gribouillis gribuïi
grief griï%f
griffe grif
griffer grifé
griffeur grifer
griffeuse grifEz
griffon grifô
griffonnage grifonaj
griffonner grifoné
griffu grify
griffue grify
griffure grifyr
grignotement griNotmâ
grignoter griNoté
grigou grigu
gril gril
grill-room grilrum
grillade griïad
grillage griïaj
grillager griïajé
grille griï
grille-pain griïpê
griller griïé
grillon griïô
grimace grimas
grimacer grimasé
grimacier grimasïé
grimacière grimasï%r
grimage grimaj
grimaçant grimasâ
grimaçante grimasât
grimer grimé
grimoire grim!ar
grimpant grêpâ
grimpante grêpât
grimper grêpé
grimpette grêp%t
grimpeur grêper
grimpeuse grêpEz
grimpée grêpé
grincement grêsmâ
grincer grêsé
grincheuse grê/Ez
grincheux grê/E
gringalet grêgal%
grinçant grêsâ
grinçante grêsât
griot griïo
griotte griïot
grippage gripaj
grippal gripal
grippale gripal
grippaux gripo
grippe grip
grippe-sou gripsu
gripper gripé
grippé gripé
grippée gripé
gris gri
gris-gris grigri
grisaille grizaï
grisant grizâ
grisante grizât
grise griz
griser grizé
griserie grizri
grisette griz%t
grison grizô
grisonnant grizonâ
grisonnante grizonât
grisonner grizoné
grisou grizu
grisâtre grizatr^
grisé grizé
grive griv
griveton grivtô
grivois griv!a
grivoise griv!az
grivoiserie griv!azri
grivèlerie griv%lri
grizzli grizli
grizzly grizli
grièche griï%/
grièvement griï%vmâ
groenendael gron%ndal
grog grog
groggy grogi
grognard groNar
grognement groNmâ
grogner groNé
grognon groNô
grognonne groNon
groin gr!ê
grole grol
grolle grol
grommeler gromlé
grommellement grom%lmâ
grondant grôdâ
grondante grôdât
grondement grôdmâ
gronder grôdé
gronderie grôdri
grondeur grôder
grondeuse grôdEz
grondin grôdê
groom grum
gros gro
gros-grain grogrê
groseille groz%ï
groseillier grozéïé
grosse gros
grossesse gros%s
grosseur groser
grossier grosïé
grossir grosir
grossissant grosisâ
grossissante grosisât
grossissement grosismâ
grossiste grosist^
grossière grosï%r
grossièrement grosï%rmâ
grossièreté grosï%rté
grosso-modo grosomodo
grotesque grot%sk^
grotesquement grot%sk^mâ
grotte grot
grouillant gruïâ
grouillante gruïât
grouillement gruïmâ
grouiller gruïé
groupage grupaj
groupe grup
groupement grupmâ
grouper grupé
groupuscule grupyskyl
grouse gruz
gruau gryo
grue gry
gruger gryjé
grumeau grymo
grumeleuse grymlEz
grumeleux grymlE
grutier grytïé
gruyère gryï%r
grâce gras
grège gr%j
grès gr%
grève gr%v
gré gré
gréco-latin grékolatê
gréco-latine grékolatin
gréco-romain grékoromê
gréco-romaine grékorom%n
gréement grémâ
gréer gréé
grégaire grég%r
grégorien grégorïê
grégorienne grégorï%n
gréseuse grézEz
gréseux grézE
grésil grézil
grésillement gréziïmâ
grésiller gréziïé
gréviste grévist^
grêle gr%l
grêler grélé
grêlon gr%lô
grêlé grélé
grêlée grélé
guano g!ano
guelte g%lt^
guenille g^niï
guenon g^nô
guerre g%r
guerrier g%rïé
guerrière g%rï%r
guerroyer g%r!aïé
guet g%
guet-apens g%tapâ
guetter gété
guetteur g%ter
gueulante gelât
gueulard gelar
gueularde gelard^
gueule gel
gueule-de-loup geld^lu
gueulement gelmâ
gueuler gelé
gueuleton geltô
gueuletonner geltoné
gueuse gEz
gueux gE
gui gi
guibole gibol
guibolle gibol
guiches gi/
guichet gi/%
guichetier gi/tïé
guichetière gi/tï%r
guidage gidaj
guide gid
guider gidé
guides gid
guidon gidô
guigne giN
guigner giNé
guignol giNol
guignolet giNol%
guignon giNô
guilledou giïdu
guillemet giïm%
guillemeter giïmété
guilleret giïr%
guillerette giïr%t
guillocher giïo/é
guillochure giïo/yr
guillotine giïotin
guillotiner giïotiné
guimauve gimov
guimbarde gêbard^
guimpe gêp
guincher gê/é
guindeau gêdo
guinder gêdé
guindé gêdé
guindée gêdé
guingois gêg!a
guinguette gêg%t
guipure gipyr
guirlande girlâd
guise giz
guitare gitar
guitariste gitarist^
guitoune gitun
guivre givr^
gustatif gystatif
gustative gystativ
gutta-percha gytap%rka
guttural gytyral
gutturale gytyral
gutturaux gytyro
guère g%r
gué gé
guépard gépar
guéret gér%
guéri géri
guéridon géridô
guérie géri
guérilla gériïa
guérillero gériïéro
guérir gérir
guérison gérizô
guérissable gérisabl^
guérisseur gériser
guérisseuse gérisEz
guérite gérit
guêpe g%p
guêpier gépïé
guêtre g%tr^
guêtré gétré
guêtrée gétré
gymnase jimnaz
gymnaste jimnast^
gymnastique jimnastik
gymnospermes jimnosp%rm^
gynécologie jinékoloji
gynécologique jinékolojik
gynécologiste jinékolojist^
gynécologue jinékolog
gynécée jinésé
gypaète jipa%t
gypse jips^
gyroscope jiroskop
gyroscopique jiroskopik
gâble gabl^
gâchage ga/aj
gâcher ga/é
gâchette ga/%t
gâcheur ga/er
gâcheuse ga/Ez
gâchis ga/i
gâte-sauce gatsos
gâteau gato
gâter gaté
gâterie gatri
gâteuse gatEz
gâteux gatE
gâtisme gatism^
géant jéâ
géante jéât
géhenne jé%n
gélatine jélatin
gélatineuse jélatinEz
gélatineux jélatinE
gélinotte jélinot
gélule jélyl
gémeau jémo
gémeaux jémo
gémellaire jémél%r
gémelle jém%l
gémination jéminasïô
géminé jéminé
géminée jéminé
gémir jémir
gémissant jémisâ
gémissante jémisât
gémissement jémismâ
gémonies jémoni
génial jénïal
géniale jénïal
génialement jénïalmâ
génialissime jénialisim
géniaux jénïo
génie jéni
génisse jénis
génital jénital
génitale jénital
génitaux jénito
génitif jénitif
génocide jénosid
génuflexion jényfl%ksïô
généalogie jénéaloji
généalogique jénéalojik
généalogiste jénéalojist^
général jénéral
générale jénéral
généralement jénéralmâ
généralisable jénéralizabl^
généralisateur jénéralizater
généralisation jénéralizasïô
généralisatrice jénéralizatris
généraliser jénéralizé
généralissime jénéralisim
généraliste jénéralist^
généralité jénéralité
générateur jénérater
génération jénérasïô
génératrice jénératris
généraux jénéro
généreuse jénérEz
généreusement jénérEzmâ
généreux jénérE
générique jénérik
générosité jénérozité
généticien jénétisïê
généticienne jénétisï%n
génétique jénétik
géodésie jéodézi
géodésique jéodézik
géographe jéograf
géographie jéografi
géographique jéografik
géographiquement jéografikmâ
géologie jéoloji
géologique jéolojik
géologiquement jéolojikmâ
géologue jéolog
géomorphologie jéomorfoloji
géomètre jéom%tr^
géométrie jéométri
géométrique jéométrik
géométriquement jéométrikmâ
géophysique jéofizik
gérance jérâs
géranium jéranïom
gérant jérâ
gérante jérât
gérer jéré
gérondif jérôdif
gérontocratie jérôtokrasi
gérontologie jérôtoloji
gésier jézïé
gésir jézir
gênant j%nâ
gênante j%nât
gêne j%n
gêner jéné
gêneur j%ner
gêneuse j%nEz
gîte jit
ha 'a
habile abil
habilement abilmâ
habileté abilté
habiliter abilité
habillage abiïaj
habillement abiïmâ
habiller abiïé
habilleuse abiïEz
habillé abiïé
habillée abiïé
habit abi
habitable abitabl^
habitacle abitakl^
habitant abitâ
habitante abitât
habitat abita
habitation abitasïô
habiter abité
habitude abityd
habituel abit%%l
habituelle abit%%l
habituellement abit%%lmâ
habituer abit%é
habitué abit%é
habituée abit%é
habité abité
habitée abité
hache 'a/
hacher 'a/é
hachette 'a/%t
hachis 'a/i
hachisch 'a/i/
hachoir 'a/!ar
hachure 'a/yr
hachurer 'a/yré
haché 'a/é
hachée 'a/é
haddock 'adok
hagard 'agar
hagarde 'agard^
hagiographie ajïografi
haie '%
haillon 'aïô
haine '%n
haineuse '%nEz
haineusement '%nEzmâ
haineux '%nE
halage 'alaj
haleine al%n
haler 'alé
haletant 'altâ
haletante 'altât
haleter 'alté
hall 'ol
hallali alali
halle 'al
hallebarde 'albard^
hallebardier 'albardïé
hallucinant alysinâ
hallucinante alysinât
hallucination alysinasïô
hallucinogène alysinoj%n
halluciné alysiné
hallucinée alysiné
halo 'alo
halte 'alt^
haltère alt%r
haltérophile altérofil
haltérophilie altérofili
halètement 'al%tmâ
hamac 'amak
hameau 'amo
hameçon amsô
hammam 'amam
hampe 'âp
hamster 'amst%r
hanap 'anap
hanche 'â/
hand-ball 'âdbal
handicap 'âdikap
handicaper 'âdikapé
handicapé 'âdikapé
handicapée 'âdikapé
hangar 'âgar
hanneton 'antô
hanter 'âté
hantise 'âtiz
happer 'apé
haquenée 'akné
haquet 'ak%
hara-kiri 'arakiri
harangue 'arâg
haranguer 'arâgé
haras 'ara
harassant 'arasâ
harassante 'arasât
harasser 'arasé
harceler 'ars^lé
harcèlement 'ars%lmâ
harde 'ard^
hardes 'ard^
hardi 'ardi
hardie 'ardi
hardiesse 'ardï%s
hardiment 'ardimâ
harem 'ar%m
hareng 'arâ
harengère 'arâj%r
hargne 'arN^
hargneuse 'arNEz
hargneusement 'arNEzmâ
hargneux 'arNE
haricot 'ariko
haridelle 'arid%l
harmonica armonika
harmonie armoni
harmonieuse armonïEz
harmonieusement armonïEzmâ
harmonieux armonïE
harmonique armonik
harmonisation armonizasïô
harmoniser armonizé
harmonium armonïom
harnachement 'arna/mâ
harnacher 'arna/é
harnais 'arn%
haro 'aro
harpe 'arp^
harpie 'arpi
harpiste 'arpist^
harpon 'arpô
harponnage 'arponaj
harponner 'arponé
haruspice aryspis
hasard 'azar
hasarder 'azardé
hasardeuse 'azardEz
hasardeux 'azardE
haschisch 'a/i/
hase 'az
hauban 'obâ
hausse 'os
haussement 'osmâ
hausser 'osé
haut 'o
haut-de-chausse 'od/os
haut-de-chausses 'od/os
haut-de-forme 'odform^
haut-fond 'ofô
haut-le-coeur 'olker
haut-le-corps 'olkor
haut-parleur 'oparler
hautain 'otê
hautaine 'ot%n
hautbois 'ob!a
hautboïste 'oboist^
haute 'ot
hautement 'otmâ
hauteur 'oter
havage 'avaj
havane 'avan
haver 'avé
haveur 'aver
havre 'avr^
havresac 'avr^sak
haïr 'air
haïssable 'aisabl^
heaume 'om
hebdomadaire %bdomad%r
hectare %ktar
hecto %kto
hectogramme %ktogram
hectolitre %ktolitr^
hectomètre %ktom%tr^
hectowatt %kto!at
hein 'ê
hellène él%n
hellénique élénik
hellénisme élénism^
helléniste élénist^
helvétique %lvétik
hem '%m
hennin 'énê
hennir 'énir
hennissant 'énisâ
hennissante 'énisât
hennissement 'énismâ
henné 'éné
hep '%p
heptagone %ptagon
herbacé %rbasé
herbacée %rbasé
herbage %rbaj
herbe %rb^
herbeuse %rbEz
herbeux %rbE
herbier %rbïé
herbivore %rbivor
herbivores %rbivor
herborisation %rborizasïô
herboriser %rborizé
herboriste %rborist^
herboristerie %rborist^ri
hercule %rkyl
herculéen %rkyléê
herculéenne %rkylé%n
hercynien %rsinïê
hercynienne %rsinï%n
hermaphrodite %rmafrodit
hermine %rmin
hermétique %rmétik
hermétiquement %rmétikmâ
hermétisme %rmétism^
herniaire '%rnï%r
hernie '%rni
herpès %rp%s
herschage '%r/aj
herscher '%r/é
herscheur '%r/er
herse '%rs^
hertzien %rtsïê
hertzienne %rtsï%n
heure er
heureuse erEz
heureusement erEzmâ
heureux erE
heurt 'er
heurter 'erté
heurtoir 'ert!ar
heurté 'erté
heurtée 'erté
hexagonal %gzagonal
hexagonale %gzagonal
hexagonaux %gzagono
hexagone %gzagon
hexamètre %gzam%tr^
hexapode %gzapod
hi 'i
hi-han 'iâ
hiatus ïatys
hibernant ib%rnâ
hibernante ib%rnât
hibernation ib%rnasïô
hiberner ib%rné
hibou 'ibu
hic 'ik
hidalgo idalgo
hideur 'ider
hideuse 'idEz
hideusement 'idEzmâ
hideux 'idE
hier ï%r
hilarant ilarâ
hilarante ilarât
hilare ilar
hilarité ilarité
hile 'il
hindou êdu
hindoue êdu
hindouisme êduism^
hippie 'ipi
hippique ipik
hippisme ipism^
hippocampe ipokâp
hippodrome ipodrom
hippomobile ipomobil
hippopotame ipopotam
hirondelle irôd%l
hirsute irsyt
hispanique ispanik
hispanisme ispanism^
hisse is
hisser 'isé
histoire ist!ar
histologie istoloji
histologique istolojik
historicité istorisité
historien istorïê
historienne istorï%n
historiette istorï%t
historiographe istorïograf
historique istorik
historiquement istorikmâ
historié istorïé
historiée istorïé
histrion istriïô
hitlérien itlérïê
hitlérienne itlérï%n
hiver iv%r
hivernage iv%rnaj
hivernal iv%rnal
hivernale iv%rnal
hivernant iv%rnâ
hivernante iv%rnât
hivernaux iv%rnaux
hiverner iv%rné
hiérarchie 'ïérar/i
hiérarchique 'ïérar/ik
hiérarchiquement 'ïérar/ikmâ
hiérarchisation 'ïérar/izasïô
hiérarchiser 'ïérar/izé
hiératique ïératik
hiératisme ïératism^
hiéroglyphe 'ïéroglif
ho 'o
hobereau 'obro
hochement 'o/mâ
hocher 'o/é
hochet 'o/%
hockey 'ok%
hockeyeur 'ok%ïer
hold-up 'oldep
hollandais 'olâd%
hollandaise 'olâd%z
hollande 'olâd
holocauste olokost^
holà 'ola
homard 'omar
home 'om
homicide omisid
hominiens ominïê
hommage omaj
hommasse omas
homme om
homme-grenouille omgr^nuï
homme-sandwich omsâd!it/
homogène omoj%n
homogénéisation omojénéizasïô
homogénéisé omojénéizé
homogénéisée omojénéizé
homogénéité omojénéité
homologation omologasïô
homologue omolog
homologuer omologé
homonyme omonim
homonymie omonimi
homosexualité omos%ks%alité
homosexuel omos%ks%%l
homosexuelle omos%ks%%l
homélie oméli
homéopathe oméopat
homéopathie oméopati
homéopathique oméopatik
homérique omérik
hongre 'ôgr^
hongrois 'ôgr!a
hongroise 'ôgr!az
honneur oner
honnir 'onir
honnête on%t
honnêtement on%tmâ
honnêteté on%tté
honorabilité onorabilité
honorable onorabl^
honorablement onorabl^mâ
honoraire onor%r
honoraires onor%r
honorer onoré
honorifique onorifik
honoris-causa onoriskoza
honoré onoré
honorée onoré
honte 'ôt
honteuse 'ôtEz
honteusement 'ôtEzmâ
honteux 'ôtE
hop 'op
hoquet 'ok%
hoqueter 'okté
horaire or%r
horde 'ord^
horion 'orïô
horizon orizô
horizontal orizôtal
horizontale orizôtal
horizontalement orizôtalmâ
horizontalité orizôtalité
horizontaux orizôtaux
horloge orloj
horloger orlojé
horlogerie orlojri
horlogère orloj%r
hormis 'ormi
hormonal ormonal
hormonale ormonal
hormonaux ormono
hormone ormon
hormonothérapie ormonotérapi
horoscope oroskop
horreur orer
horrible oribl^
horriblement oribl^mâ
horrifiant orifïâ
horrifiante orifïât
horrifier orifïé
horripilant oripilâ
horripilante oripilât
horripiler oripilé
hors 'or
hors-bord 'orbor
hors-concours 'orkôkur
hors-d'oeuvre 'ordevr^
hors-jeu 'orjE
hors-la-loi 'orlal!a
hors-texte 'ort%kst^
hortensia ortâsïa
horticole ortikol
horticulteur ortikylter
horticulture ortikyltyr
hosanna ozana
hospice ospis
hospitalier ospitalïé
hospitalisation ospitalizasïô
hospitaliser ospitalizé
hospitalité ospitalité
hospitalière ospitalï%r
hostellerie ost%lri
hostie osti
hostile ostil
hostilité ostilité
hostilités ostilité
hotte 'ot
hottentot 'otâto
hottentote 'otâtot
hou 'u
houblon 'ublô
houblonnière 'ublonï%r
houe 'u
houille 'uï
houiller 'uïé
houillère 'uï%r
houle 'ul
houlette 'ul%t
houleuse 'ulEz
houleux 'ulE
houppe 'up
houppelande 'uplâd
houppette 'up%t
hourdis 'urdi
hourra 'ura
hourvari 'urvari
houspiller 'uspiïé
housse 'us
houx 'u
hublot 'yblo
huche 'y/
hue 'y
huer '%é
huguenot 'ygno
huguenote 'ygnot
huilage %ilaj
huile %il
huiler %ilé
huilerie %ilri
huileuse %ilEz
huileux %ilE
huilier %ilïé
huis %i
huissier %isïé
huit '%it
huitaine '%it%n
huitième '%itï%m
huitièmement '%itï%mmâ
hulotte 'ylot
hululement 'ylylmâ
hululer 'ylylé
hum 'em
humage 'ymaj
humain ymê
humaine ym%n
humainement ym%nmâ
humanisation ymanizasïô
humaniser ymanizé
humanisme ymanism^
humaniste ymanist^
humanitaire ymanit%r
humanité ymanité
humanités ymanité
humble ûbl^
humblement ûbl^mâ
humbles ûbl^
humectage ym%ktaj
humecter ym%kté
humer 'ymé
humeur ymer
humide ymid
humidificateur ymidifikater
humidification ymidifikasïô
humidifier ymidifïé
humidité ymidité
humiliant ymilïâ
humiliante ymilïât
humiliation ymilïasïô
humilier ymilïé
humilité ymilité
humilié ymilïé
humiliée ymilïé
humoral ymoral
humorale ymoral
humoraux ymoro
humoriste ymorist^
humoristique ymoristik
humour ymur
humus ymys
huméral yméral
humérale yméral
huméraux yméro
humérus ymérys
hune 'yn
hunier 'ynïé
huppe 'yp
huppé 'ypé
huppée 'ypé
hure 'yr
hurlant 'yrlâ
hurlante 'yrlât
hurlement 'yrl^mâ
hurler 'yrlé
hurluberlu yrlyb%rly
hurrah 'ura
hussard 'ysar
hutte 'yt
huée '%é
huître %itr^
hybridation ibridasïô
hybride ibrid
hydratant idratâ
hydratante idratât
hydratation idratasïô
hydrate idrat
hydrater idraté
hydraulique idrolik
hydravion idravïô
hydre idr^
hydro-électrique idroél%ktrik
hydrocarbure idrokarbyr
hydrocution idrokysïô
hydrocéphale idroséfal
hydrodynamique idrodinamik
hydroglisseur idrogliser
hydrographie idrografi
hydrogène idroj%n
hydrolat idrola
hydrologie idroloji
hydrolyse idroliz
hydromel idrom%l
hydrométrie idrométri
hydrométrique idrométrik
hydrophile idrofil
hydrophobie idrofobi
hydropique idropik
hydropisie idropizi
hydrostatique idrostatik
hydrothérapie idrotérapi
hydrothérapique idrotérapik
hydroxyde idroksid
hygiène ijï%n
hygiénique ijïénik
hygrométrie igrométri
hygrométrique igrométrik
hymen im%n
hymne imn^
hyménoptère iménopt%r
hyménoptères iménopt%r
hyménée iméné
hyperbole ip%rbol
hyperbolique ip%rbolik
hypermétrope ip%rmétrop
hypermétropie ip%rmétropi
hypernerveuse ip%rn%rvEz
hypernerveux ip%rn%rvE
hypersensibilité ip%rsâsibilité
hypersensible ip%rsâsibl^
hypertendu ip%rtâdy
hypertendue ip%rtâdy
hypertension ip%rtâsïô
hypertrophie ip%rtrofi
hypertrophier ip%rtrofïé
hypertrophique ip%rtrofik
hypnose ipnoz
hypnotique ipnotik
hypnotiser ipnotizé
hypnotiseur ipnotizer
hypnotisme ipnotism^
hypocondriaque ipokôdriïak
hypocondrie ipokôdri
hypocrisie ipokrizi
hypocrite ipokrit
hypocritement ipokritmâ
hypodermique ipod%rmik
hypogastre ipogastr^
hypogée ipojé
hypophysaire ipofiz%r
hypophyse ipofiz
hypotendu ipotâdy
hypotendue ipotâdy
hypotension ipotâsïô
hypothèque ipot%k
hypothèse ipot%z
hypothécaire ipoték%r
hypothéquer ipotéké
hypothétique ipotétik
hypothétiquement ipotétikmâ
hypoténuse ipotényz
hysope izop
hystérie istéri
hystérique istérik
hyène ï%n
hâbleur 'abler
hâbleuse 'ablEz
hâle 'al
hâler 'alé
hâte 'at
hâter 'até
hâtif 'atif
hâtive 'ativ
hâtivement 'ativmâ
hâve 'av
hère '%r
hé 'é
hébergement éb%rj^mâ
héberger éb%rjé
hébraïque ébraik
hébreu ébrE
hébétude ébétyd
hébété ébété
hébétée ébété
hécatombe ékatôb
hédonisme édonism^
hégire éjir
hégémonie éjémoni
hélas 'élas
héler 'élé
hélice élis
hélicoptère élikopt%r
hélicoïdal élikoidal
hélicoïdale élikoidal
hélicoïdaux élikoidaux
héligare éligar
héliogravure élïogravyr
héliothérapie élïotérapi
héliotrope élïotrop
héliport élipor
héliporté éliporté
héliportée éliporté
hélium élïom
hématie émati
hématologie ématoloji
hématologiste ématolojist^
hématologue ématolog
hématome ématom
hématurie ématyri
hémicycle émisikl^
hémiplégie émipléji
hémiplégique émipléjik
hémisphère émisf%r
hémisphérique émisférik
hémistiche émisti/
hémoglobine émoglobin
hémophile émofil
hémophilie émofili
hémoptysie émoptizi
hémorragie émoraji
hémorragique émorajik
hémorroïdal émoroidal
hémorroïdale émoroidal
hémorroïdaux émoroido
hémorroïde émoroid
hémostatique émostatik
hépatique épatik
hépatite épatit
héraldique éraldik
héraldiste éraldist^
héraut 'éro
hérissement 'érismâ
hérisser 'érisé
hérisson 'érisô
héritage éritaj
hériter érité
héritier éritïé
héritière éritï%r
héron 'érô
héros 'éro
héroïne éroin
héroïnomane éroinoman
héroïque éroik
héroïquement éroikmâ
héroïsme éroism^
héréditaire érédit%r
hérédité érédité
hérésie érézi
hérétique érétik
hésitant ézitâ
hésitante ézitât
hésitation ézitasïô
hésiter ézité
hétéroclite étéroklit
hétérodoxe étérodoks^
hétérodoxie étérodoksi
hétérogène étéroj%n
hétérogénéité étérojénéité
hétérosexualité étéros%ks%alité
hétérosexuel étéros%ks%%l
hétérosexuelle étéros%ks%%l
hévéa évéa
hêtre '%tr^
hôpital opital
hôpitaux opito
hôte ot
hôtel ot%l
hôtel-dieu ot%ldïE
hôtelier ot^lïé
hôtelière ot^lï%r
hôtellerie ot%lri
hôtesse ot%s
ibidem ibid%m
ibis ibis
ibérique ibérik
iceberg isb%rg
ichtyologie iktïoloji
ici isi
iconoclaste ikonoklast^
iconographie ikonografi
iconographique ikonografik
iconostase ikonostaz
ictère ikt%r
icône ikon
idem id%m
identifiable idâtifïabl^
identification idâtifikasïô
identifier idâtifïé
identique idâtik
identiquement idâtikmâ
identité idâtité
ides id
idiome idïom
idiosyncrasie idïosêkrazi
idiot idïo
idiote idïot
idiotie idïosi
idiotisme idïotism^
idoine id!an
idole idol
idolâtre idolatr^
idolâtrer idolatré
idolâtrie idolatri
idylle idil
idyllique idilik
idéal idéal
idéale idéal
idéalement idéalmâ
idéalisation idéalizasïô
idéaliser idéalizé
idéalisme idéalism^
idéaliste idéalist^
idéals idéal
idéaux idéo
idée idé
idéographique idéografik
idéologie idéoloji
idéologique idéolojik
idéologue idéolog
if if
igloo iglu
iglou iglu
igname iNam
ignare iNar
ignifuge ignifyj
ignifuger ignifyjé
ignition ignisïô
ignoble iNobl^
ignoblement iNobl^mâ
ignominie iNomini
ignominieuse iNominïEz
ignominieusement iNominïEzmâ
ignominieux iNominïE
ignorance iNorâs
ignorant iNorâ
ignorante iNorât
ignorer iNoré
ignoré iNoré
ignorée iNoré
igné igné
ignée igné
iguane ig!an
il il
iliaque ilïak
ilion ilïô
ilium ilïom
illettré ilétré
illettrée ilétré
illicite ilisit
illico iliko
illimité ilimité
illimitée ilimité
illisible ilizibl^
illogique ilojik
illogisme ilojism^
illumination ilyminasïô
illuminer ilyminé
illuminisme ilyminism^
illuminé ilyminé
illuminée ilyminé
illusion ilyzïô
illusionner ilyzïoné
illusionniste ilyzïonist^
illusoire ilyz!ar
illustrateur ilystrater
illustration ilystrasïô
illustre ilystr^
illustrer ilystré
illustré ilystré
illustrée ilystré
illégal ilégal
illégale ilégal
illégalement ilégalmâ
illégalité ilégalité
illégaux ilégo
illégitime iléjitim
illégitimement iléjitimmâ
ilote ilot
iléon iléô
image imaj
imagerie imajri
imaginable imajinabl^
imaginaire imajin%r
imaginatif imajinatif
imagination imajinasïô
imaginative imajinativ
imaginer imajiné
imagé imajé
imagée imajé
imbattable êbatabl^
imberbe êb%rb^
imbiber êbibé
imbrication êbrikasïô
imbriquer êbriké
imbriqué êbriké
imbriquée êbriké
imbroglio êbrolïo
imbu êby
imbue êby
imbuvable êbyvabl^
imbécile êbésil
imbécilement êbésilmâ
imbécillité êbésilité
imitable imitabl^
imitateur imitater
imitatif imitatif
imitation imitasïô
imitative imitativ
imitatrice imitatris
imiter imité
immaculé imakylé
immaculée imakylé
immanence imanâs
immanent imanâ
immanente imanât
immangeable êmâjabl^
immanquable êmâkabl^
immanquablement êmâkabl^mâ
immatriculation imatrikylasïô
immatriculer imatrikylé
immatérialité imatérïalité
immatériel imatérï%l
immatérielle imatérï%l
immense imâs
immensité imâsité
immensément imâsémâ
immerger im%rjé
immersion im%rsïô
immettable êm%tabl^
immeuble imebl^
immigrant imigrâ
immigrante imigrât
immigration imigrasïô
immigrer imigré
imminence iminâs
imminent iminâ
imminente iminât
immiscer imisé
immixtion imiksïô
immobile imobil
immobilier imobilïé
immobilisation imobilizasïô
immobiliser imobilizé
immobilisme imobilism^
immobilité imobilité
immobilière imobilï%r
immodeste imod%st^
immodéré imodéré
immodérée imodéré
immodérément imodérémâ
immolation imolasïô
immoler imolé
immonde imôd
immondices imôdis
immoral imoral
immorale imoral
immoralisme imoralism^
immoralité imoralité
immoraux imoro
immortaliser imortalizé
immortalité imortalité
immortel imort%l
immortelle imort%l
immotivé imotivé
immotivée imotivé
immuable im%abl^
immuablement im%abl^mâ
immuniser imynizé
immunité imynité
immédiat imédïa
immédiate imédïat
immédiatement imédïatmâ
immémorial imémorïal
immémoriale imémorïal
immémoriaux imémorïo
immérité imérité
imméritée imérité
impact êpakt
impair êp%r
impaire êp%r
impalpable êpalpabl^
impardonnable êpardonabl^
imparfait êparf%
imparfaite êparf%t
imparfaitement êparf%tmâ
impartial êparsïal
impartiale êparsïal
impartialement êparsïalmâ
impartialité êparsïalité
impartiaux êparsïo
impartir êpartir
impasse êpas
impassibilité êpasibilité
impassible êpasibl^
impatiemment êpasïamâ
impatience êpasïâs
impatient êpasïâ
impatiente êpasïât
impatienter êpasïâté
impatroniser êpatronizé
impavide êpavid
impayable êp%ïabl^
impayé êpéïé
impayée êpéïé
impeccable êpékabl^
impeccablement êpékabl^mâ
impensable êpâsabl^
imperceptible êp%rs%ptibl^
imperceptiblement êp%rs%ptibl^mâ
imperdable êp%rdabl^
imperfection êp%rf%ksïô
imperméabilisation êp%rméabilizasïô
imperméabiliser êp%rméabilizé
imperméabilité êp%rméabilité
imperméable êp%rméabl^
impersonnalité êp%rsonalité
impersonnel êp%rson%l
impersonnelle êp%rson%l
impersonnellement êp%rson%lmâ
impertinence êp%rtinâs
impertinent êp%rtinâ
impertinente êp%rtinât
imperturbable êp%rtyrbabl^
imperturbablement êp%rtyrbabl^mâ
impie êpi
impitoyable êpit!aïabl^
impitoyablement êpit!aïabl^mâ
impiété êpïété
implacable êplakabl^
implacablement êplakabl^mâ
implantation êplâtasïô
implanter êplâté
implication êplikasïô
implicite êplisit
implicitement êplisitmâ
impliquer êpliké
implorant êplorâ
implorante êplorât
imploration êplorasïô
implorer êploré
impoli êpoli
impolie êpoli
impoliment êpolimâ
impolitesse êpolit%s
impondérable êpôdérabl^
impopulaire êpopyl%r
impopularité êpopylarité
importance êportâs
important êportâ
importante êportât
importateur êportater
importation êportasïô
importatrice êportatris
importer êporté
importun êportû
importune êportyn
importuner êportyné
importunité êportynité
imposable êpozabl^
imposant êpozâ
imposante êpozât
imposer êpozé
imposition êpozisïô
impossibilité êposibilité
impossible êposibl^
imposteur êposter
imposture êpostyr
impotence êpotâs
impotent êpotâ
impotente êpotât
impraticable êpratikabl^
imprenable êpr^nabl^
impresario êprésarïo
imprescriptible êpr%skriptibl^
impression êprésïô
impressionnable êprésïonabl^
impressionnant êprésïonâ
impressionnante êprésïonât
impressionner êprésïoné
impressionnisme êprésïonism^
impressionniste êprésïonist^
imprimatur êprimatyr
imprimer êprimé
imprimerie êprimri
imprimeur êprimer
imprimé êprimé
imprimée êprimé
improbabilité êprobabilité
improbable êprobabl^
improbation êprobasïô
improductif êprodyktif
improductive êprodyktiv
impromptu êprôpty
impromptue êprôpty
imprononçable êpronôsabl^
impropre êpropr^
improprement êpropr^mâ
impropriété êpropriïété
improvisation êprovizasïô
improviser êprovizé
improviste êprovist^
imprudemment êprydamâ
imprudence êprydâs
imprudent êprydâ
imprudente êprydât
imprécation êprékasïô
imprécis êprési
imprécise êprésiz
